日期,臺南市,區別,里別,"調查種類","調查戶數","陽性戶數",調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2021/9/9,臺南市,東　區,大同里,住宅,80,1,4,15,19,0,1,1,1,1,5,2,120.2130451,22.9839645
2021/9/8,臺南市,東　區,大智里,住宅,80,0,2,8,10,0,0,0,0,0,0,0,120.2332423,22.962286
2021/9/10,臺南市,東　區,大福里,住宅,80,0,0,3,3,0,0,0,0,0,0,0,120.2159306,22.9739636
2021/9/9,臺南市,東　區,大學里,住宅,80,1,0,12,12,0,1,1,1,1,8,3,120.2209801,22.9963981
2021/9/10,臺南市,東　區,小東里,住宅,80,1,0,6,6,0,1,1,1,1,17,5,120.227472,22.9970514
2021/9/6,臺南市,東　區,中西里,學校,80,0,0,5,5,0,0,0,0,0,0,0,120.2202587,22.9905086
2021/9/8,臺南市,東　區,中西里,住宅,80,0,0,6,6,0,0,0,0,0,0,0,120.2202587,22.9905086
2021/9/6,臺南市,東　區,成大里,學校,80,0,2,12,14,0,0,0,0,0,0,0,120.2152092,22.9976069
2021/9/10,臺南市,東　區,成大里,住宅,80,1,0,7,7,0,1,1,1,1,14,4,120.2152092,22.9976069
2021/9/7,臺南市,東　區,自強里,住宅,80,1,0,11,11,0,1,1,1,1,9,3,120.2332423,22.9824198
2021/9/11,臺南市,東　區,忠孝里,住宅,80,1,0,3,3,0,1,1,1,1,33,8,120.218816,22.9773869
2021/9/10,臺南市,東　區,東安里,住宅,80,0,2,9,11,0,0,0,0,0,0,0,120.2213407,22.9872616
2021/9/10,臺南市,東　區,東安里,住宅,80,1,3,6,9,0,1,1,1,1,11,4,120.2213407,22.9872616
2021/9/11,臺南市,東　區,東智里,住宅,80,1,0,7,7,0,1,1,1,1,14,4,120.2267506,22.9629737
2021/9/7,臺南市,東　區,東聖里,住宅,80,0,0,7,7,0,0,0,0,0,0,0,120.2346848,22.9861443
